datetime,open,high,low,close,bar_size,mid_price,body_size,body_ratio,bar_context,upper_tail,lower_tail,upper_tail_ratio,lower_tail_ratio,tail_context,close_vs_prior_high_low,breakout_depth_vs_prior,lookback_1_to_5
13/5/2026 19:00,4697.40,4697.68,4696.37,4697.14,1.31,4697.03,0.26,0.198,"Bear reversal bar, Bear doji",0.28,0.77,0.214,0.588,"small_upper_tail, long_lower_tail",no_prior_bar,0.00,no_prior_bar
13/5/2026 19:01,4697.14,4697.27,4694.70,4696.55,2.57,4695.99,0.59,0.230,"Bear reversal bar, Bear doji",0.13,1.85,0.051,0.720,"almost_no_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:lower_low_lower_high
13/5/2026 19:02,4696.54,4698.94,4696.54,4697.74,2.40,4697.74,1.20,0.500,"Bull reversal bar, Bull doji",1.20,0.00,0.500,0.000,"long_upper_tail, no_lower_tail",close_above_prior_high,0.47,1:higher_high_higher_low;2:lower_low_lower_high
13/5/2026 19:03,4697.74,4698.83,4697.13,4698.38,1.70,4697.98,0.64,0.376,"Bull doji, inside_bar",0.45,0.61,0.265,0.359,"small_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:inside_bar;2:higher_high_higher_low;3:lower_low_lower_high
13/5/2026 19:04,4698.39,4700.20,4698.16,4699.44,2.04,4699.18,1.05,0.515,Bull breakout bar,0.76,0.23,0.373,0.113,"long_upper_tail, small_lower_tail",close_above_prior_high,0.61,1:higher_high_higher_low;2:inside_bar;3:higher_high_higher_low;4:lower_low_lower_high
13/5/2026 19:05,4699.44,4700.63,4698.34,4700.12,2.29,4699.49,0.68,0.297,Bull doji,0.51,1.10,0.223,0.480,"small_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:higher_high_higher_low;3:inside_bar;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 19:06,4700.11,4700.33,4698.82,4699.97,1.51,4699.58,0.14,0.093,"Bear reversal bar, Bear doji, inside_bar",0.22,1.15,0.146,0.762,"small_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:inside_bar;2:higher_high_higher_low;3:higher_high_higher_low;4:inside_bar;5:higher_high_higher_low
13/5/2026 19:07,4699.98,4701.71,4699.97,4700.50,1.74,4700.84,0.52,0.299,"Bull reversal bar, Bull doji",1.21,0.01,0.695,0.006,"long_upper_tail, almost_no_lower_tail",close_above_prior_high,0.17,1:higher_high_higher_low;2:inside_bar;3:higher_high_higher_low;4:higher_high_higher_low;5:inside_bar
13/5/2026 19:08,4700.54,4700.79,4699.29,4699.59,1.50,4700.04,0.95,0.633,Bear breakout bar,0.25,0.30,0.167,0.200,"small_upper_tail, small_lower_tail",close_below_prior_low,0.38,1:lower_low_lower_high;2:higher_high_higher_low;3:inside_bar;4:higher_high_higher_low;5:higher_high_higher_low
13/5/2026 19:09,4699.60,4699.83,4697.74,4699.32,2.09,4698.79,0.28,0.134,"Bear reversal bar, Bear doji",0.23,1.58,0.110,0.756,"small_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:lower_low_lower_high;2:lower_low_lower_high;3:higher_high_higher_low;4:inside_bar;5:higher_high_higher_low
13/5/2026 19:10,4699.33,4699.37,4696.05,4697.70,3.32,4697.71,1.63,0.491,Bear breakout bar,0.04,1.65,0.012,0.497,"almost_no_upper_tail, long_lower_tail",close_below_prior_low,0.04,1:lower_low_lower_high;2:lower_low_lower_high;3:lower_low_lower_high;4:higher_high_higher_low;5:inside_bar
13/5/2026 19:11,4697.69,4698.27,4696.43,4697.96,1.84,4697.35,0.27,0.147,"Bull doji, inside_bar",0.31,1.26,0.168,0.685,"small_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:inside_bar;2:lower_low_lower_high;3:lower_low_lower_high;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 19:12,4697.98,4699.04,4697.42,4697.48,1.62,4698.23,0.50,0.309,Bear breakout bar,1.06,0.06,0.654,0.037,"long_upper_tail, almost_no_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:inside_bar;3:lower_low_lower_high;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:13,4697.44,4697.88,4695.56,4696.10,2.32,4696.72,1.34,0.578,Bear breakout bar,0.44,0.54,0.190,0.233,"small_upper_tail, small_lower_tail",close_below_prior_low,1.32,1:lower_low_lower_high;2:higher_high_higher_low;3:inside_bar;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:14,4696.09,4696.35,4693.39,4693.89,2.96,4694.87,2.20,0.743,Bear breakout bar,0.26,0.50,0.088,0.169,"almost_no_upper_tail, small_lower_tail",close_below_prior_low,1.67,1:lower_low_lower_high;2:lower_low_lower_high;3:higher_high_higher_low;4:inside_bar;5:lower_low_lower_high
13/5/2026 19:15,4693.88,4693.97,4691.47,4692.44,2.50,4692.72,1.44,0.576,Bear breakout bar,0.09,0.97,0.036,0.388,"almost_no_upper_tail, long_lower_tail",close_below_prior_low,0.95,1:lower_low_lower_high;2:lower_low_lower_high;3:lower_low_lower_high;4:higher_high_higher_low;5:inside_bar
13/5/2026 19:16,4692.47,4692.94,4689.12,4692.17,3.82,4691.03,0.30,0.079,"Bear reversal bar, Bear doji",0.47,3.05,0.123,0.798,"small_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:lower_low_lower_high;2:lower_low_lower_high;3:lower_low_lower_high;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 19:17,4692.18,4693.44,4691.35,4691.91,2.09,4692.40,0.27,0.129,Bear doji,1.26,0.56,0.603,0.268,"long_upper_tail, small_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:lower_low_lower_high;3:lower_low_lower_high;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:18,4691.92,4694.05,4691.24,4693.94,2.81,4692.65,2.02,0.719,"Bull breakout bar, outside_bar",0.11,0.68,0.039,0.242,"almost_no_upper_tail, small_lower_tail",close_above_prior_high,0.50,1:outside_bar;2:higher_high_higher_low;3:lower_low_lower_high;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:19,4693.93,4694.28,4691.27,4691.88,3.01,4692.78,2.05,0.681,Bear breakout bar,0.35,0.61,0.116,0.203,"small_upper_tail, small_lower_tail",close_above_prior_low,0.00,1:higher_high_higher_low;2:outside_bar;3:higher_high_higher_low;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:20,4691.91,4693.35,4690.09,4690.64,3.26,4691.72,1.27,0.390,Bear breakout bar,1.44,0.55,0.442,0.169,"long_upper_tail, small_lower_tail",close_below_prior_low,0.63,1:lower_low_lower_high;2:higher_high_higher_low;3:outside_bar;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 19:21,4690.63,4690.79,4687.24,4689.87,3.55,4689.01,0.76,0.214,"Bear reversal bar, Bear doji",0.16,2.63,0.045,0.741,"almost_no_upper_tail, long_lower_tail",close_below_prior_low,0.22,1:lower_low_lower_high;2:lower_low_lower_high;3:higher_high_higher_low;4:outside_bar;5:higher_high_higher_low
13/5/2026 19:22,4689.93,4690.01,4684.98,4688.09,5.03,4687.50,1.84,0.366,"Bear reversal bar, Bear doji",0.08,3.11,0.016,0.618,"almost_no_upper_tail, long_lower_tail",close_above_prior_low,0.00,1:lower_low_lower_high;2:lower_low_lower_high;3:lower_low_lower_high;4:higher_high_higher_low;5:outside_bar
13/5/2026 19:23,4688.10,4690.69,4687.55,4689.07,3.14,4689.12,0.97,0.309,"Bull reversal bar, Bull doji",1.62,0.55,0.516,0.175,"long_upper_tail, small_lower_tail",close_below_prior_high,0.00,1:higher_high_higher_low;2:lower_low_lower_high;3:lower_low_lower_high;4:lower_low_lower_high;5:higher_high_higher_low
13/5/2026 19:24,4688.99,4690.37,4687.60,4687.64,2.77,4688.99,1.35,0.487,"Bear breakout bar, inside_bar",1.38,0.04,0.498,0.014,"long_upper_tail, almost_no_lower_tail",close_above_prior_low,0.00,1:inside_bar;2:higher_high_higher_low;3:lower_low_lower_high;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:25,4687.66,4689.11,4686.99,4688.16,2.12,4688.05,0.50,0.236,Bull doji,0.95,0.67,0.448,0.316,"long_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:lower_low_lower_high;2:inside_bar;3:higher_high_higher_low;4:lower_low_lower_high;5:lower_low_lower_high
13/5/2026 19:26,4688.20,4688.20,4685.44,4685.98,2.76,4686.82,2.22,0.804,Bear breakout bar,0.00,0.54,0.000,0.196,"no_upper_tail, small_lower_tail",close_below_prior_low,1.01,1:lower_low_lower_high;2:lower_low_lower_high;3:inside_bar;4:higher_high_higher_low;5:lower_low_lower_high
13/5/2026 19:27,4685.99,4687.24,4684.73,4686.87,2.51,4685.99,0.88,0.351,Bull doji,0.37,1.26,0.147,0.502,"small_upper_tail, long_lower_tail",close_below_prior_high,0.00,1:lower_low_lower_high;2:lower_low_lower_high;3:lower_low_lower_high;4:inside_bar;5:higher_high_higher_low
