Date,Message
1995-01-03T07:00:00.000+07:00,"404.27,404.27,397.56,398"
1995-01-04T07:00:00.000+07:00,"398,400.41,394.59,399.65"
1995-01-05T07:00:00.000+07:00,"399.65,402.04,397.84,398.02"
1995-01-06T07:00:00.000+07:00,"398.02,403.03,398.02,401.59"
1995-01-09T07:00:00.000+07:00,"401.59,403.99,400.91,403.53"
1995-01-10T07:00:00.000+07:00,"403.53,410.56,403.53,407.57"
1995-01-11T07:00:00.000+07:00,"407.57,410.45,402.71,407.1"
1995-01-12T07:00:00.000+07:00,"407.1,408.32,405.85,407.32"
1995-01-13T07:00:00.000+07:00,"407.32,411.16,407.32,410.48"
1995-01-16T07:00:00.000+07:00,"410.48,415.5,409.87,413.65"
1995-01-17T07:00:00.000+07:00,"413.65,418.66,413.65,416.89"
1995-01-18T07:00:00.000+07:00,"416.89,419.98,416.01,419.26"
1995-01-19T07:00:00.000+07:00,"419.26,419.26,416.55,417.83"
1995-01-20T07:00:00.000+07:00,"417.83,417.95,408.73,410.13"
1995-01-23T07:00:00.000+07:00,"410.13,412.07,404.57,411.89"
1995-01-24T07:00:00.000+07:00,"411.89,414.04,410.81,413.6"
1995-01-25T07:00:00.000+07:00,"413.6,414.02,407.73,410.87"
1995-01-26T07:00:00.000+07:00,"410.87,411.73,406.19,406.5"
1995-01-27T07:00:00.000+07:00,"406.5,409.14,405.38,407.22"
1995-01-30T07:00:00.000+07:00,"407.22,408.39,401.32,401.71"
1995-01-31T07:00:00.000+07:00,"401.71,406.06,401.08,405.33"
1995-02-01T07:00:00.000+07:00,"405.33,411.38,405.33,407.06"
1995-02-02T07:00:00.000+07:00,"407.06,411.28,406.34,411.15"
1995-02-03T07:00:00.000+07:00,"411.15,419.01,411.15,416.14"
1995-02-06T07:00:00.000+07:00,"416.14,421.29,416.14,420.93"
1995-02-07T07:00:00.000+07:00,"420.93,422.18,418.49,420.57"
1995-02-08T07:00:00.000+07:00,"420.79,426.2,420.79,425.66"
1995-02-09T07:00:00.000+07:00,"425.66,429.79,425.66,426.43"
1995-02-10T07:00:00.000+07:00,"426.43,431.3,426.43,430.77"
1995-02-13T07:00:00.000+07:00,"430.77,432.37,428.53,428.77"
1995-02-14T07:00:00.000+07:00,"428.77,431.06,428.24,429.81"
1995-02-15T07:00:00.000+07:00,"429.86,433.44,428,432.49"
1995-02-16T07:00:00.000+07:00,"432.49,433.16,428.61,430.86"
1995-02-17T07:00:00.000+07:00,"430.86,430.86,425.33,425.66"
1995-02-21T07:00:00.000+07:00,"425.66,427.03,423.93,424.82"
1995-02-22T07:00:00.000+07:00,"424.82,429.93,423.12,429.21"
1995-02-23T07:00:00.000+07:00,"429.2,435.2,429.2,431.03"
1995-02-24T07:00:00.000+07:00,"431.03,431.03,426.57,428.42"
1995-02-27T07:00:00.000+07:00,"428.42,430.67,424.04,424.75"
1995-02-28T07:00:00.000+07:00,"424.75,432.91,424.71,432.5"
1995-03-01T07:00:00.000+07:00,"432.5,435.22,429.8,429.8"
1995-03-02T07:00:00.000+07:00,"429.8,431.72,429.05,431.68"
1995-03-03T07:00:00.000+07:00,"431.68,436.89,429.34,436.68"
1995-03-06T07:00:00.000+07:00,"436.68,437.25,430.41,437.24"
1995-03-07T07:00:00.000+07:00,"437.24,437.82,431.13,432.12"
1995-03-08T07:00:00.000+07:00,"432.12,437.01,432.12,437.01"
1995-03-09T07:00:00.000+07:00,"437.01,438.49,433.12,437.02"
1995-03-10T07:00:00.000+07:00,"437.02,441.76,436.01,441.76"
1995-03-13T07:00:00.000+07:00,"441.75,443.94,440.29,440.82"
1995-03-14T07:00:00.000+07:00,"440.81,447.51,440.81,446.27"
1995-03-15T07:00:00.000+07:00,"446.27,446.56,442.31,443.57"
1995-03-16T07:00:00.000+07:00,"443.57,445.81,442.95,444.68"
1995-03-17T07:00:00.000+07:00,"444.68,447.75,442.71,443.94"
1995-03-20T07:00:00.000+07:00,"443.94,447.67,442.83,446.61"
1995-03-21T07:00:00.000+07:00,"446.61,451.16,445.99,447.13"
1995-03-22T07:00:00.000+07:00,"447.13,447.43,444.19,447.13"
1995-03-23T07:00:00.000+07:00,"447.13,452.04,446.74,448.82"
1995-03-24T07:00:00.000+07:00,"448.82,455.45,448.82,455.43"
1995-10-23T07:00:00.000+07:00,"587.84,594.73,586.01,593.27"
1995-10-24T07:00:00.000+07:00,"593.2,597.56,593.02,594.23"
1995-10-25T07:00:00.000+07:00,"594.23,595.2,584.33,584.33"
1995-10-26T07:00:00.000+07:00,"584.33,588.13,572.49,582.47"
1995-10-27T07:00:00.000+07:00,"582.47,593.53,580.25,593.53"
1995-10-30T07:00:00.000+07:00,"593.53,609.38,593.53,607.1"
1995-10-31T07:00:00.000+07:00,"607.1,613,598.77,598.78"
1995-11-01T07:00:00.000+07:00,"598.78,603,595.39,600.91"
1995-11-02T07:00:00.000+07:00,"600.91,614.79,600.65,614.69"
1995-11-03T07:00:00.000+07:00,"614.69,621.71,612.09,621.71"
1995-11-06T07:00:00.000+07:00,"621.71,623.53,615.66,615.72"
1995-11-07T07:00:00.000+07:00,"615.72,615.72,591.2,596.23"
1995-11-08T07:00:00.000+07:00,"596.2,606.4,594.75,598.72"
1995-11-09T07:00:00.000+07:00,"598.72,617.02,598.72,616.95"
1995-11-10T07:00:00.000+07:00,"616.95,620.98,611.64,613.61"
1995-11-13T07:00:00.000+07:00,"613.61,616.16,607.15,608.32"
1995-11-14T07:00:00.000+07:00,"608.32,608.5,591.6,591.68"
1995-11-15T07:00:00.000+07:00,"591.68,597.07,582.41,593.48"
1995-11-16T07:00:00.000+07:00,"593.48,597.73,586.94,591.7"
1995-11-17T07:00:00.000+07:00,"591.7,594.25,587.4,588.81"
1995-11-20T07:00:00.000+07:00,"588.81,593.73,571.67,571.67"
1995-11-21T07:00:00.000+07:00,"571.67,576.22,562.5,574.22"
1995-11-22T07:00:00.000+07:00,"574.22,580,568.99,569.04"
1995-11-24T07:00:00.000+07:00,"569.04,578.35,569.04,578.32"
1995-11-27T07:00:00.000+07:00,"578.32,585.88,573.91,573.91"
