Date,Message
2024-10-01T04:00:00.000+07:00,"20017.1,20029.2,20015.9,20027.1"
2024-10-01T05:00:00.000+07:00,"20018.4,20029.7,19997.9,20019.4"
2024-10-01T06:00:00.000+07:00,"20019.3,20033.8,20005.4,20031.7"
2024-10-01T07:00:00.000+07:00,"20031.5,20067.6,20006,20058.6"
2024-10-01T08:00:00.000+07:00,"20058.7,20117.9,20058.7,20117.6"
2024-10-01T09:00:00.000+07:00,"20117.4,20119.8,20072.6,20082.2"
2024-10-01T10:00:00.000+07:00,"20082.7,20084.3,20057.9,20073.9"
2024-10-01T11:00:00.000+07:00,"20074.2,20074.6,20042.6,20046.8"
2024-10-01T12:00:00.000+07:00,"20045.8,20058.3,20022.7,20041.1"
2024-10-01T13:00:00.000+07:00,"20040.9,20071.8,20032.8,20056.8"
2024-10-01T14:00:00.000+07:00,"20055.9,20078.1,20004.8,20075.8"
2024-10-01T15:00:00.000+07:00,"20075.4,20080.7,20040.9,20059.7"
2024-10-01T16:00:00.000+07:00,"20058.1,20072.2,20045.1,20067.4"
2024-10-01T17:00:00.000+07:00,"20067.3,20108.4,20060.6,20104.2"
2024-10-01T18:00:00.000+07:00,"20104.1,20113.8,20045.9,20061.6"
2024-10-01T19:00:00.000+07:00,"20060.2,20075.6,20042.7,20064.8"
2024-10-01T20:00:00.000+07:00,"20064.7,20069.3,19769.2,19831.3"
2024-10-01T21:00:00.000+07:00,"19831.4,19867.6,19657.2,19716"
2024-10-01T22:00:00.000+07:00,"19715.8,19766.7,19610.4,19716.2"
2024-10-01T23:00:00.000+07:00,"19714.9,19787.8,19647.3,19726"
2024-10-02T00:00:00.000+07:00,"19726.8,19792.5,19638,19791.5"
2024-10-02T01:00:00.000+07:00,"19790.9,19872.4,19788.5,19846.7"
2024-10-02T02:00:00.000+07:00,"19846.8,19856.2,19747.8,19771.7"
2024-10-02T03:00:00.000+07:00,"19768,19805,19742.8,19749.4"
2024-10-02T04:00:00.000+07:00,"19750.1,19755.5,19744.6,19750.7"
2024-10-02T05:00:00.000+07:00,"19761.8,19772.1,19694.1,19706.7"
2024-10-02T06:00:00.000+07:00,"19707,19734.8,19681.8,19720.6"
2024-10-02T07:00:00.000+07:00,"19721,19754.6,19712.5,19738.5"
2024-10-02T08:00:00.000+07:00,"19738.3,19778,19733.8,19773"
2024-10-02T09:00:00.000+07:00,"19772.8,19784,19745.1,19755.2"
2024-10-02T10:00:00.000+07:00,"19755.3,19785.5,19730.8,19779.8"
2024-10-02T11:00:00.000+07:00,"19779.6,19784.4,19706.8,19724.9"
2024-10-02T12:00:00.000+07:00,"19724.8,19741.1,19675.9,19716.3"
2024-10-02T13:00:00.000+07:00,"19715.5,19735.3,19686.3,19723.3"
2024-10-02T14:00:00.000+07:00,"19726.4,19767.3,19693.6,19747.9"
2024-10-02T15:00:00.000+07:00,"19747.3,19765,19727.6,19740"
2024-10-02T16:00:00.000+07:00,"19739.9,19741.9,19688.3,19707.5"
2024-10-02T17:00:00.000+07:00,"19706.9,19766.8,19674.1,19753.8"
2024-10-02T18:00:00.000+07:00,"19756.9,19770.4,19719.5,19728.6"
2024-10-02T19:00:00.000+07:00,"19729.3,19805.4,19720.5,19774.5"
2024-10-02T20:00:00.000+07:00,"19775.8,19781,19629.6,19709.1"
2024-10-02T21:00:00.000+07:00,"19711.6,19851.5,19701.4,19791.6"
2024-10-02T22:00:00.000+07:00,"19792.2,19884.1,19787,19855.8"
2024-10-02T23:00:00.000+07:00,"19855.6,19879.7,19772.8,19775.3"
2024-10-03T00:00:00.000+07:00,"19776.4,19844.6,19766.1,19841.4"
2024-10-03T01:00:00.000+07:00,"19840.9,19854.4,19782.8,19820.9"
2024-10-03T02:00:00.000+07:00,"19820.6,19853.1,19800.9,19804.8"
2024-10-03T03:00:00.000+07:00,"19804.3,19868.3,19799.8,19851.5"
2024-10-03T04:00:00.000+07:00,"19852.5,19856.6,19849.5,19853.9"
