Date,Message
2026-05-14T11:41:00.000+07:00,"29474.9,29482.7,29473.8,29481.3"
2026-05-14T11:42:00.000+07:00,"29481.1,29481.7,29467.6,29469.6"
2026-05-14T11:43:00.000+07:00,"29469.3,29476.3,29469.3,29475.8"
2026-05-14T11:44:00.000+07:00,"29475.7,29476.1,29473.2,29475.3"
2026-05-14T11:45:00.000+07:00,"29475.2,29476.2,29469.5,29471"
2026-05-14T11:46:00.000+07:00,"29471.3,29471.6,29464.7,29466.8"
2026-05-14T11:47:00.000+07:00,"29467.3,29478.3,29466.9,29477.9"
2026-05-14T11:48:00.000+07:00,"29478.1,29490.4,29478.1,29488.5"
2026-05-14T11:49:00.000+07:00,"29488.6,29493,29484.7,29485"
2026-05-14T11:50:00.000+07:00,"29484.2,29485,29467.1,29472.9"
2026-05-14T11:51:00.000+07:00,"29472.8,29473.6,29461.1,29468.2"
2026-05-14T11:52:00.000+07:00,"29468.4,29469.5,29458.9,29466.8"
2026-05-14T11:53:00.000+07:00,"29466.9,29470.7,29464.5,29467.9"
2026-05-14T11:54:00.000+07:00,"29467.8,29473.9,29464.8,29472.2"
2026-05-14T11:55:00.000+07:00,"29472.4,29474.2,29465.8,29467.7"
2026-05-14T11:56:00.000+07:00,"29467.8,29469.6,29463.6,29465"
2026-05-14T11:57:00.000+07:00,"29465.3,29466.1,29456.9,29463.8"
2026-05-14T11:58:00.000+07:00,"29463.9,29463.9,29456.1,29460.3"
2026-05-14T11:59:00.000+07:00,"29460.2,29463.5,29458.3,29458.7"
2026-05-14T12:00:00.000+07:00,"29458.4,29461.8,29451.5,29460"
2026-05-14T12:01:00.000+07:00,"29460.1,29462.7,29453.3,29460.9"
2026-05-14T12:02:00.000+07:00,"29461,29469.1,29458.2,29465.8"
2026-05-14T12:03:00.000+07:00,"29465.9,29468.7,29460.3,29467.9"
2026-05-14T12:04:00.000+07:00,"29467.8,29474.6,29467.3,29472.4"
2026-05-14T12:05:00.000+07:00,"29472.6,29474.3,29465.2,29468.1"
2026-05-14T12:06:00.000+07:00,"29468.4,29468.9,29463.7,29467.6"
2026-05-14T12:07:00.000+07:00,"29467.4,29475.5,29466,29472.5"
2026-05-14T12:08:00.000+07:00,"29472.7,29473.6,29455.5,29457.7"
2026-05-14T12:09:00.000+07:00,"29457.9,29460,29452.3,29459.2"
2026-05-14T12:10:00.000+07:00,"29459.4,29464,29455.8,29463.4"
2026-05-14T12:11:00.000+07:00,"29463.6,29465.8,29458.3,29461.4"
