Date,Message
1995-01-02T07:00:00.000+07:00,"404.27,404.27,394.59,401.59"
1995-01-09T07:00:00.000+07:00,"401.59,411.16,400.91,410.48"
1995-01-16T07:00:00.000+07:00,"410.48,419.98,408.73,410.13"
1995-01-23T07:00:00.000+07:00,"410.13,414.04,404.57,407.22"
1995-01-30T07:00:00.000+07:00,"407.22,419.01,401.08,416.14"
1995-02-06T07:00:00.000+07:00,"416.14,431.3,416.14,430.77"
1995-02-13T07:00:00.000+07:00,"430.77,433.44,425.33,425.66"
1995-02-20T07:00:00.000+07:00,"425.66,435.2,423.12,428.42"
1995-02-27T07:00:00.000+07:00,"428.42,436.89,424.04,436.68"
1995-03-06T07:00:00.000+07:00,"436.68,441.76,430.41,441.76"
1995-03-13T07:00:00.000+07:00,"441.75,447.75,440.29,443.94"
1995-03-20T07:00:00.000+07:00,"443.94,455.45,442.83,455.43"
1995-10-23T07:00:00.000+07:00,"587.84,597.56,572.49,593.53"
1995-10-30T07:00:00.000+07:00,"593.53,621.71,593.53,621.71"
1995-11-06T07:00:00.000+07:00,"621.71,623.53,591.2,613.61"
1995-11-13T07:00:00.000+07:00,"613.61,616.16,582.41,588.81"
1995-11-20T07:00:00.000+07:00,"588.81,593.73,562.5,578.32"
1995-11-27T07:00:00.000+07:00,"578.32,604.79,573.91,587.02"
1995-12-04T07:00:00.000+07:00,"586.93,604.13,579.76,599.38"
1995-12-11T07:00:00.000+07:00,"599.38,602.39,560.35,563.28"
1995-12-18T07:00:00.000+07:00,"563.28,585.44,540.97,585.18"
1995-12-25T07:00:00.000+07:00,"585.18,587.81,569.45,576.23"
1996-01-01T07:00:00.000+07:00,"576.23,586.32,552.18,565.14"
1996-01-08T07:00:00.000+07:00,"565.14,568.23,527.22,552.71"
1996-01-15T07:00:00.000+07:00,"552.75,566.12,526.8,564.64"
1996-01-22T07:00:00.000+07:00,"564.64,584.56,563.68,577.05"
1996-01-29T07:00:00.000+07:00,"577.05,606.6,574.45,601.42"
1996-02-05T07:00:00.000+07:00,"601.5,629.4,600.67,623.01"
1996-02-12T07:00:00.000+07:00,"623.01,629.01,612.04,619.04"
1996-02-19T07:00:00.000+07:00,"619.04,647.34,611.73,642.59"
1996-02-26T07:00:00.000+07:00,"642.59,645.24,601.04,604.76"
1996-03-04T07:00:00.000+07:00,"604.76,617.22,585.33,591.71"
1996-03-11T07:00:00.000+07:00,"591.71,622.68,591.71,621.71"
1996-03-18T07:00:00.000+07:00,"621.71,637.92,605.87,612.88"
1996-03-25T07:00:00.000+07:00,"612.88,617.75,591.35,609.69"
1996-04-01T06:00:00.000+07:00,"609.69,620.59,609.69,618"
1996-04-08T06:00:00.000+07:00,"618,619.95,597.42,605.05"
1996-04-15T06:00:00.000+07:00,"605.05,638.72,605.05,633.01"
1996-04-22T06:00:00.000+07:00,"633.01,669.74,633.01,666.65"
1996-04-29T06:00:00.000+07:00,"666.65,673.88,656.62,661.07"
1996-05-06T06:00:00.000+07:00,"661.07,672.59,646.02,672.54"
1996-05-13T06:00:00.000+07:00,"672.54,700.65,672.54,690.81"
1996-05-20T06:00:00.000+07:00,"690.81,696.83,684.16,688.91"
1996-05-27T06:00:00.000+07:00,"688.91,694.27,674.65,692.39"
1996-06-03T06:00:00.000+07:00,"692.39,704.09,673.32,691.46"
1996-06-10T06:00:00.000+07:00,"691.46,702.14,681.07,681.13"
1996-06-17T06:00:00.000+07:00,"681.14,684.26,648.93,672.53"
1996-06-24T06:00:00.000+07:00,"672.53,681.69,651.72,677.3"
1996-07-01T06:00:00.000+07:00,"677.4,687.95,657.68,657.68"
1996-07-08T06:00:00.000+07:00,"657.68,665.12,625.09,635.06"
1996-07-15T06:00:00.000+07:00,"635.06,644.11,572.79,633.05"
1996-07-22T06:00:00.000+07:00,"633.05,633.68,577.81,633.39"
1996-07-29T06:00:00.000+07:00,"633.39,670.59,617.68,667.84"
1996-08-05T06:00:00.000+07:00,"667.84,682.48,655.27,678.31"
1996-08-12T06:00:00.000+07:00,"678.31,681.92,666.57,672.28"
1996-08-19T06:00:00.000+07:00,"672.28,685.15,658.47,677.57"
1996-08-26T06:00:00.000+07:00,"677.57,681.41,663.17,663.57"
1996-09-02T06:00:00.000+07:00,"663.57,672.34,650.48,664.22"
1996-09-09T06:00:00.000+07:00,"664.22,707.91,663.53,707.86"
1996-09-16T06:00:00.000+07:00,"707.86,745.6,706.65,743.42"
1996-09-23T06:00:00.000+07:00,"743.42,757.83,731.3,744.73"
1996-09-30T06:00:00.000+07:00,"744.73,759.13,727.14,759.12"
1996-10-07T06:00:00.000+07:00,"759.12,770.74,749.1,765.64"
1996-10-14T06:00:00.000+07:00,"765.64,786.75,751.6,756.83"
1996-10-21T06:00:00.000+07:00,"756.83,764.64,730.55,743.55"
1996-10-28T07:00:00.000+07:00,"743.55,758.56,730.45,755.51"
1996-11-04T07:00:00.000+07:00,"755.51,800.87,751.45,798.66"
1996-11-11T07:00:00.000+07:00,"798.66,814.31,790.11,799.44"
1996-11-18T07:00:00.000+07:00,"799.43,819.05,787.71,818.51"
1996-11-25T07:00:00.000+07:00,"818.51,836.15,811.67,834.01"
1996-12-02T07:00:00.000+07:00,"834.01,855.79,805.07,827.21"
1996-12-09T07:00:00.000+07:00,"827.21,873,825.49,828.45"
1996-12-16T07:00:00.000+07:00,"828.45,853.19,798.13,834.05"
1996-12-23T07:00:00.000+07:00,"834.05,845.05,821.43,835.19"
1996-12-30T07:00:00.000+07:00,"835.19,848.18,806.17,848.08"
1997-01-06T07:00:00.000+07:00,"848.52,867.37,844.43,865.58"
1997-01-13T07:00:00.000+07:00,"865.59,886.38,861.55,883.44"
1997-01-20T07:00:00.000+07:00,"883.44,938.11,883.44,898.37"
1997-01-27T07:00:00.000+07:00,"898.37,926.01,884.17,921.55"
1997-02-03T07:00:00.000+07:00,"921.55,928.31,875.98,899.84"
1997-02-10T07:00:00.000+07:00,"899.84,912.28,856.04,899.91"
1997-02-17T07:00:00.000+07:00,"899.91,903.6,862,864.3"
1997-02-24T07:00:00.000+07:00,"864.3,892.25,835.87,850.46"
1997-03-03T07:00:00.000+07:00,"850.46,874.28,837.01,841.03"
1997-03-10T07:00:00.000+07:00,"841.03,858.5,831.83,838.98"
1997-03-17T07:00:00.000+07:00,"838.97,838.97,798.25,812.73"
1997-03-24T07:00:00.000+07:00,"812.73,843.35,784.54,818.74"
1997-03-31T06:00:00.000+07:00,"818.74,823.9,779.17,822.4"
1997-04-07T06:00:00.000+07:00,"822.4,849.79,789.8,789.97"
1997-04-14T06:00:00.000+07:00,"789.97,828.37,785.08,816.43"
1997-04-21T06:00:00.000+07:00,"816.35,853.69,793.13,818.57"
1997-04-28T06:00:00.000+07:00,"818.57,909.56,812.25,909.49"
1997-05-05T06:00:00.000+07:00,"909.49,932.89,903.41,919.14"
1997-05-12T06:00:00.000+07:00,"919.14,932.4,900.24,915.29"
1997-05-19T06:00:00.000+07:00,"915.29,961.48,908.72,959.08"
1997-05-26T06:00:00.000+07:00,"959.08,988.4,907.18,958.85"
1997-06-02T06:00:00.000+07:00,"958.85,967.9,917.34,944.98"
1997-06-09T06:00:00.000+07:00,"945.01,971.18,931.43,964.4"
1997-06-16T06:00:00.000+07:00,"964.4,991.85,962.54,981.41"
1997-06-23T06:00:00.000+07:00,"981.41,993.16,961.67,963.01"
1997-06-30T06:00:00.000+07:00,"963.07,990.53,947.78,986.52"
1997-07-07T06:00:00.000+07:00,"986.52,1019.18,986.52,1015.62"
1997-07-14T06:00:00.000+07:00,"1015.62,1108.12,1015.62,1070.99"
1997-07-21T06:00:00.000+07:00,"1070.99,1106.7,1051.03,1085.39"
1997-07-28T06:00:00.000+07:00,"1085.39,1113.99,1069.25,1108.94"
1997-08-04T06:00:00.000+07:00,"1108.95,1151.82,1104.48,1115.02"
1997-08-11T06:00:00.000+07:00,"1115.02,1116.97,1076.64,1076.67"
1997-08-18T06:00:00.000+07:00,"1076.65,1145.27,1060.88,1110.91"
1997-08-25T06:00:00.000+07:00,"1110.91,1121.81,1064.57,1074.17"
1997-09-01T06:00:00.000+07:00,"1074.17,1119.85,1074.17,1111.15"
1997-09-08T06:00:00.000+07:00,"1117.06,1128.99,1082.83,1106.07"
1997-09-15T06:00:00.000+07:00,"1106.07,1122.4,1080.23,1118.68"
1997-09-22T06:00:00.000+07:00,"1118.68,1139.7,1102.11,1106.82"
1997-09-29T06:00:00.000+07:00,"1106.82,1135.19,1089.36,1124.44"
1997-10-06T06:00:00.000+07:00,"1124.44,1153.89,1121.24,1137.77"
1997-10-13T06:00:00.000+07:00,"1137.77,1146.12,1058.96,1075.12"
1997-10-20T06:00:00.000+07:00,"1075.12,1114.46,1046.77,1057.34"
1997-10-27T07:00:00.000+07:00,"1057.34,1057.35,925.92,1019.62"
