Date,Message
2025-11-19 16:45:00+07:00,"4098.52,4116.18,4098.4,4113.4"
2025-11-19 17:00:00+07:00,"4113.41,4119.04,4109.13,4111.36"
2025-11-19 17:15:00+07:00,"4111.4,4115.83,4110.56,4112.07"
2025-11-19 17:30:00+07:00,"4112.06,4114.63,4110.27,4112.58"
2025-11-19 17:45:00+07:00,"4112.46,4113.89,4107.13,4109.02"
2025-11-19 18:00:00+07:00,"4108.77,4111.53,4106.36,4109.95"
2025-11-19 18:15:00+07:00,"4109.94,4117.6,4109.8,4114.15"
2025-11-19 18:30:00+07:00,"4114.15,4115.1,4109.94,4111.31"
2025-11-19 18:45:00+07:00,"4111.32,4116.96,4111.29,4112.79"
2025-11-19 19:00:00+07:00,"4112.79,4119.9,4112.39,4116.49"
2025-11-19 19:15:00+07:00,"4116.51,4117.52,4112.07,4117.13"
2025-11-19 19:30:00+07:00,"4117.16,4119.76,4114.98,4117.37"
2025-11-19 19:45:00+07:00,"4117.16,4119.67,4112.23,4114.34"
2025-11-19 20:00:00+07:00,"4114.35,4115.39,4101.15,4103.31"
2025-11-19 20:15:00+07:00,"4103.27,4109.66,4100.59,4109.42"
2025-11-19 20:30:00+07:00,"4109.42,4115.05,4106.42,4114.52"
2025-11-19 20:45:00+07:00,"4114.72,4117.89,4106.05,4110.39"
2025-11-19 21:00:00+07:00,"4110.46,4118.87,4110.43,4117.87"
2025-11-19 21:15:00+07:00,"4117.88,4118.9,4105.9,4106.9"
2025-11-19 21:30:00+07:00,"4106.92,4117.56,4101.86,4112.76"
2025-11-19 21:45:00+07:00,"4112.75,4128.98,4109.07,4127.97"
2025-11-19 22:00:00+07:00,"4127.94,4130.23,4120.64,4129.55"
2025-11-19 22:15:00+07:00,"4129.6,4132.74,4115.74,4116.12"
2025-11-19 22:30:00+07:00,"4116.16,4121.14,4108.86,4110.2"
2025-11-19 22:45:00+07:00,"4110.15,4110.85,4090.1,4096.6"
2025-11-19 23:00:00+07:00,"4096.59,4098.75,4083.8,4094.64"
2025-11-19 23:15:00+07:00,"4094.63,4095.38,4071.62,4074.58"
2025-11-19 23:30:00+07:00,"4074.58,4079.39,4067.75,4073.94"
2025-11-19 23:45:00+07:00,"4073.92,4078.15,4069.9,4074.55"
2025-11-20 00:00:00+07:00,"4074.51,4076.44,4055.62,4065.37"
2025-11-20 00:15:00+07:00,"4065.36,4073.07,4061.87,4072.38"
2025-11-20 00:30:00+07:00,"4072.35,4078.31,4062.92,4074.93"
2025-11-20 00:45:00+07:00,"4074.9,4081.18,4071.81,4078.68"
2025-11-20 01:00:00+07:00,"4078.71,4085.6,4078.43,4084.13"
2025-11-20 01:15:00+07:00,"4084.14,4086.6,4078.69,4081.53"
2025-11-20 01:30:00+07:00,"4081.47,4084.42,4075.69,4079.42"
2025-11-20 01:45:00+07:00,"4079.37,4091.03,4078.08,4087.06"
2025-11-20 02:00:00+07:00,"4087.09,4087.41,4073.01,4077.6"
2025-11-20 02:15:00+07:00,"4077.52,4079.16,4069,4071.58"
2025-11-20 02:30:00+07:00,"4071.57,4076.64,4069.01,4071.74"
2025-11-20 02:45:00+07:00,"4071.77,4077.38,4070.8,4073.86"
2025-11-20 03:00:00+07:00,"4073.88,4077.96,4072.21,4075.58"
2025-11-20 03:15:00+07:00,"4075.61,4082.3,4075.58,4079.14"
2025-11-20 03:30:00+07:00,"4079.09,4080.67,4074.52,4077.14"
2025-11-20 03:45:00+07:00,"4077.18,4078.44,4072.08,4076.59"
2025-11-20 04:00:00+07:00,"4076.61,4076.61,4071.27,4072.22"
2025-11-20 04:15:00+07:00,"4072.23,4077.42,4065.56,4076.88"
2025-11-20 04:30:00+07:00,"4076.8,4084.75,4076.39,4080.4"
2025-11-20 04:45:00+07:00,"4080.46,4082.38,4076.48,4077.69"
2025-11-20 06:00:00+07:00,"4080.27,4089.43,4079.87,4087.99"
2025-11-20 06:15:00+07:00,"4087.95,4091.01,4087.37,4087.91"
2025-11-20 06:30:00+07:00,"4087.95,4098.73,4085.75,4096.59"
2025-11-20 06:45:00+07:00,"4096.53,4107.94,4096.08,4104.36"
2025-11-20 07:00:00+07:00,"4104.3,4109.93,4103.27,4105.61"
2025-11-20 07:15:00+07:00,"4105.62,4109.1,4104.92,4105.58"
2025-11-20 07:30:00+07:00,"4105.55,4108.98,4101.62,4105.34"
2025-11-20 07:45:00+07:00,"4105.35,4106.2,4100.43,4103.08"
2025-11-20 08:00:00+07:00,"4103.07,4109.17,4096.47,4097.46"
2025-11-20 08:15:00+07:00,"4097.39,4099.13,4092.42,4094.68"
2025-11-20 08:30:00+07:00,"4094.67,4094.99,4088.31,4091.87"
2025-11-20 08:45:00+07:00,"4091.89,4098,4081.11,4081.76"
2025-11-20 09:00:00+07:00,"4081.73,4081.85,4059.08,4063.76"
2025-11-20 09:15:00+07:00,"4063.77,4064.38,4042.95,4055.1"
2025-11-20 09:30:00+07:00,"4055.13,4061.87,4053.36,4061.6"
2025-11-20 09:45:00+07:00,"4061.61,4070.13,4060.05,4067.08"
2025-11-20 10:00:00+07:00,"4067.07,4085.78,4066.35,4078.01"
2025-11-20 10:15:00+07:00,"4078.03,4078.43,4072.75,4076.07"
2025-11-20 10:30:00+07:00,"4076.04,4076.7,4064.84,4065.95"
2025-11-20 10:45:00+07:00,"4065.91,4073.14,4064.68,4072.78"
2025-11-20 11:00:00+07:00,"4072.75,4078.84,4068.3,4078.17"
2025-11-20 11:15:00+07:00,"4078.2,4080.33,4076.16,4078.1"
2025-11-20 11:30:00+07:00,"4078.05,4079.9,4073.4,4076.69"
2025-11-20 11:45:00+07:00,"4076.7,4080.67,4074.66,4076.09"
2025-11-20 12:00:00+07:00,"4076.09,4076.29,4068.02,4071.09"
2025-11-20 12:15:00+07:00,"4071.08,4074.24,4068.39,4069.56"
2025-11-20 12:30:00+07:00,"4069.53,4072.41,4064.46,4067.2"
2025-11-20 12:45:00+07:00,"4067.37,4071.7,4066.38,4066.42"
2025-11-20 13:00:00+07:00,"4066.43,4077.7,4064.91,4073.44"
2025-11-20 13:15:00+07:00,"4073.42,4074.69,4058.82,4062.82"
2025-11-20 13:30:00+07:00,"4062.84,4072.28,4061.8,4067.95"
2025-11-20 13:45:00+07:00,"4067.95,4070.37,4063.53,4068.64"
2025-11-20 14:00:00+07:00,"4068.63,4076.77,4065.42,4073.33"
2025-11-20 14:15:00+07:00,"4073.5,4073.53,4059.98,4062.94"
2025-11-20 14:30:00+07:00,"4062.93,4068.22,4058.75,4059.83"
2025-11-20 14:45:00+07:00,"4059.84,4061.74,4054.18,4059.84"
2025-11-20 15:00:00+07:00,"4059.77,4063.33,4042.89,4047.04"
2025-11-20 15:15:00+07:00,"4046.95,4050.6,4038.79,4045.94"
2025-11-20 15:30:00+07:00,"4045.99,4058.4,4044.07,4054.51"
2025-11-20 15:45:00+07:00,"4054.52,4069.4,4051.82,4063.5"
2025-11-20 16:00:00+07:00,"4063.49,4072.93,4063.34,4068.7"
2025-11-20 16:15:00+07:00,"4068.63,4071.48,4059.05,4059.6"
2025-11-20 16:30:00+07:00,"4059.61,4067.7,4055.6,4063.84"
2025-11-20 16:45:00+07:00,"4063.85,4069.19,4059.81,4064.05"
2025-11-20 17:00:00+07:00,"4064.08,4068.32,4059.03,4059.78"
2025-11-20 17:15:00+07:00,"4059.76,4063.96,4058.09,4061.81"
2025-11-20 17:30:00+07:00,"4061.82,4066.89,4061.17,4063.31"
2025-11-20 17:45:00+07:00,"4063.32,4065.13,4058.15,4060.18"
2025-11-20 18:00:00+07:00,"4060.19,4061.16,4053.93,4057.38"
2025-11-20 18:15:00+07:00,"4057.35,4057.35,4051.12,4056.36"
2025-11-20 18:30:00+07:00,"4056.36,4068.32,4054.51,4066.52"
2025-11-20 18:45:00+07:00,"4066.54,4067.08,4056.37,4060.8"
2025-11-20 19:00:00+07:00,"4060.73,4075.02,4059.99,4072.29"
2025-11-20 19:15:00+07:00,"4072.34,4079.42,4069.65,4073.1"
2025-11-20 19:30:00+07:00,"4073.12,4079.29,4072.86,4076.56"
2025-11-20 19:45:00+07:00,"4076.58,4082.17,4074.21,4081.63"
2025-11-20 20:00:00+07:00,"4081.65,4094.41,4081.39,4090.17"
2025-11-20 20:15:00+07:00,"4090.19,4093.39,4083.66,4085.55"
2025-11-20 20:30:00+07:00,"4085.57,4096.35,4067.35,4080.87"
2025-11-20 20:45:00+07:00,"4080.86,4090.16,4073.01,4080.15"
2025-11-20 21:00:00+07:00,"4080.2,4083.53,4072.07,4078.58"
2025-11-20 21:15:00+07:00,"4078.53,4088.71,4078.25,4080.65"
2025-11-20 21:30:00+07:00,"4080.67,4091.54,4074.47,4088.78"
2025-11-20 21:45:00+07:00,"4088.81,4107.38,4086.43,4093.07"
2025-11-20 22:00:00+07:00,"4093.06,4096.97,4082.58,4092.16"
2025-11-20 22:15:00+07:00,"4092.13,4098.97,4086.42,4095.29"
2025-11-20 22:30:00+07:00,"4095.7,4096.43,4075.14,4087.78"
2025-11-20 22:45:00+07:00,"4087.86,4088.71,4070.14,4070.14"
2025-11-20 23:00:00+07:00,"4070.5,4082.85,4068.57,4074.88"
2025-11-20 23:15:00+07:00,"4074.87,4078.42,4062.99,4064.75"
2025-11-20 23:30:00+07:00,"4064.7,4068.18,4057.67,4059.08"
2025-11-20 23:45:00+07:00,"4059.07,4067.14,4044.93,4049.17"
2025-11-21 00:00:00+07:00,"4049.13,4054.87,4043.79,4052.43"
2025-11-21 00:15:00+07:00,"4052.4,4061.08,4050.32,4056.36"
2025-11-21 00:30:00+07:00,"4056.32,4059.82,4049.49,4052.55"
2025-11-21 00:45:00+07:00,"4052.54,4068.55,4051.83,4066.06"
2025-11-21 01:00:00+07:00,"4065.97,4072.52,4064.35,4066.63"
2025-11-21 01:15:00+07:00,"4066.66,4067.19,4056.14,4060.52"
2025-11-21 01:30:00+07:00,"4060.5,4067.07,4057.7,4061.2"
