Date,Message
2007-02-19 06:00:00+07:00,"668.2,673.15,667.35,671.1"
2007-02-20 06:00:00+07:00,"671.05,671.75,655.7,659.75"
2007-02-21 06:00:00+07:00,"659.35,682.44,657.04,677.94"
2007-02-22 06:00:00+07:00,"677.89,680.95,674.9,675.25"
2007-02-23 06:00:00+07:00,"675.35,688.2,672.7,682.2"
2007-02-26 06:00:00+07:00,"683.25,688.05,682.35,686.6"
2007-02-27 06:00:00+07:00,"686.7,688.95,658.75,665.35"
2007-02-28 06:00:00+07:00,"665.3,677.5,661.05,673.85"
2007-03-01 06:00:00+07:00,"673.8,677.4,649.65,655.65"
2007-03-02 06:00:00+07:00,"656.15,664.05,639.55,642.15"
2007-03-05 06:00:00+07:00,"642.75,644.85,632.35,632.75"
2007-03-06 06:00:00+07:00,"632.8,647.8,632.65,647.65"
2007-03-07 06:00:00+07:00,"647.45,651.7,642.65,647.6"
2007-03-08 06:00:00+07:00,"647.75,655.75,647.6,652.35"
2007-03-09 06:00:00+07:00,"652.25,657.9,647.45,649.15"
2007-03-12 05:00:00+07:00,"649.3,653.85,645.6,649.2"
2007-03-13 05:00:00+07:00,"649.25,652.15,641.55,643.15"
2007-03-14 05:00:00+07:00,"643,645.9,636.8,644.55"
2007-03-15 05:00:00+07:00,"644.6,650.15,643.7,648.3"
2007-03-16 05:00:00+07:00,"648.55,655.35,645.9,653.1"
2007-03-19 05:00:00+07:00,"654.1,656.2,651.95,654.6"
2007-03-20 05:00:00+07:00,"654.65,660.85,652.6,658.6"
2007-03-21 05:00:00+07:00,"658.65,664.9,656.9,663.75"
2007-03-22 05:00:00+07:00,"663.7,666.55,661.9,663.4"
2007-03-23 05:00:00+07:00,"663.35,664.55,654.95,657.15"
2007-03-26 05:00:00+07:00,"658.1,665.05,657.85,663.6"
2007-03-27 05:00:00+07:00,"663.5,668.95,661.65,665.95"
2007-03-28 05:00:00+07:00,"665.9,669.2,663.35,665.3"
2007-03-29 05:00:00+07:00,"665.25,665.85,655.3,661.25"
2007-03-30 05:00:00+07:00,"661.05,667.6,660.8,663.45"
2007-04-02 05:00:00+07:00,"665.7,667.55,656.25,663.3"
2007-04-03 05:00:00+07:00,"663.25,667.4,661.8,663.6"
2007-04-04 05:00:00+07:00,"663.65,675.65,663.6,674.05"
2007-04-05 05:00:00+07:00,"674.1,675.35,671.5,674.65"
2007-04-06 05:00:00+07:00,"674.25,674.35,673.35,673.35"
2007-04-09 05:00:00+07:00,"672.55,677.65,670.55,672.25"
2007-04-10 05:00:00+07:00,"672.3,681.45,671.2,677.3"
2007-04-11 05:00:00+07:00,"677.25,680.65,674.25,677.4"
2007-04-12 05:00:00+07:00,"677.45,679.65,671.3,676.95"
2007-04-13 05:00:00+07:00,"677.05,685.55,676.3,684.85"
2007-04-16 05:00:00+07:00,"685.25,691.1,682.95,690.35"
2007-04-17 05:00:00+07:00,"690.4,690.7,685.95,687.45"
2007-04-18 05:00:00+07:00,"687.4,690.8,685.55,689.75"
2007-04-19 05:00:00+07:00,"689.5,691.5,679,684"
2007-04-20 05:00:00+07:00,"683.9,693.5,683.2,691.65"
2007-04-23 05:00:00+07:00,"692.6,693.55,686.8,689.8"
2007-04-24 05:00:00+07:00,"689.65,691.7,681.2,683.65"
2007-04-25 05:00:00+07:00,"683.7,686.65,682,684.9"
2007-04-26 05:00:00+07:00,"684.95,686.7,671.2,674.55"
2007-04-27 05:00:00+07:00,"674.45,681.7,670.65,681.2"
2007-04-30 05:00:00+07:00,"679.95,680.85,675.8,678.65"
2007-05-01 05:00:00+07:00,"678.35,678.95,671.75,674.01"
2007-05-02 05:00:00+07:00,"674.06,674.86,667.45,672.6"
2007-05-03 05:00:00+07:00,"672.65,682.4,671.9,681.85"
2007-05-04 05:00:00+07:00,"681.8,690.5,680.1,688.55"
2007-05-07 05:00:00+07:00,"688.05,690.7,686.4,688.05"
2007-05-08 05:00:00+07:00,"688.1,688.75,681.95,685.45"
2007-05-09 05:00:00+07:00,"685.4,686.55,675.65,680.7"
2007-05-10 05:00:00+07:00,"680.65,680.7,664.25,664.8"
2007-05-11 05:00:00+07:00,"664.85,672.75,664.65,670.8"
2007-05-14 05:00:00+07:00,"671.8,674.95,666.4,669.2"
2007-05-15 05:00:00+07:00,"669.15,673.35,664.95,672.15"
2007-05-16 05:00:00+07:00,"672.1,673.25,659.7,662.25"
2007-05-17 05:00:00+07:00,"662.2,664.55,653.6,657.65"
2007-05-18 05:00:00+07:00,"657.75,662.9,655.75,661.45"
2007-05-21 05:00:00+07:00,"661.75,663.65,657,662.95"
2007-05-22 05:00:00+07:00,"662.9,665.3,658.1,658.6"
2007-05-23 05:00:00+07:00,"658.8,664.45,657.35,662.35"
2007-05-24 05:00:00+07:00,"662.45,662.7,651.95,654.15"
2007-05-25 05:00:00+07:00,"654.2,656.8,653.4,655.75"
2007-05-28 05:00:00+07:00,"655.8,656.35,654.9,655.6"
2007-05-29 05:00:00+07:00,"655.5,661.65,654.7,657.05"
2007-05-30 05:00:00+07:00,"657.1,658.65,651.95,654.6"
2007-05-31 05:00:00+07:00,"654.65,661.7,654.5,660.8"
2007-06-01 05:00:00+07:00,"660.65,671.6,660.65,671.4"
2007-06-04 05:00:00+07:00,"671.1,673.85,668.5,671.35"
2007-06-05 05:00:00+07:00,"671.4,673.3,668.95,670.7"
2007-06-06 05:00:00+07:00,"670.65,671.95,665.05,669.95"
2007-06-07 05:00:00+07:00,"669.9,672.95,658.05,659.4"
2007-06-08 05:00:00+07:00,"659.45,661.4,644,648.45"
2007-06-11 05:00:00+07:00,"649.95,654.95,649.55,653.2"
2007-06-12 05:00:00+07:00,"653.05,654.6,645.7,647.55"
2007-06-13 05:00:00+07:00,"647.5,652.5,643,651.25"
2007-06-14 05:00:00+07:00,"651.2,654.1,645.9,652.9"
2007-06-15 05:00:00+07:00,"652.8,655.7,649.95,655.05"
2007-06-18 05:00:00+07:00,"656.2,659.2,654.6,656.85"
2007-06-19 05:00:00+07:00,"656.9,662.05,653.7,660.8"
2007-06-20 05:00:00+07:00,"660.65,661.5,652.45,654.2"
2007-06-21 05:00:00+07:00,"654.1,656.55,647.8,651.25"
2007-06-22 05:00:00+07:00,"651.3,656.3,650.6,653.9"
2007-06-25 05:00:00+07:00,"652.15,654.05,648.9,651.1"
2007-06-26 05:00:00+07:00,"651.25,651.85,638.85,641.85"
2007-06-27 05:00:00+07:00,"641.9,644.7,640.15,643"
2007-06-28 05:00:00+07:00,"643.05,649.8,642.9,648.35"
2007-06-29 05:00:00+07:00,"648.25,652.35,646.5,649.35"
2007-07-02 05:00:00+07:00,"650.3,658.6,648.6,656.2"
2007-07-03 05:00:00+07:00,"656.45,658.05,652.05,653.55"
2007-07-04 05:00:00+07:00,"653.6,654.8,653.2,654.05"
2007-07-05 05:00:00+07:00,"653.9,656.5,645.7,649.1"
2007-07-06 05:00:00+07:00,"649.2,656,645,655.65"
2007-07-09 05:00:00+07:00,"654.95,663.1,653.5,659.9"
2007-07-10 05:00:00+07:00,"659.8,664.9,658.7,663.55"
2007-07-11 05:00:00+07:00,"663.45,665.95,659.8,661.3"
2007-07-12 05:00:00+07:00,"661.25,669.3,660.7,666.3"
2007-07-13 05:00:00+07:00,"666.25,668.5,663.2,666.6"
2007-07-16 05:00:00+07:00,"666.85,668.7,663.45,665.45"
2007-07-17 05:00:00+07:00,"665.5,667.3,662.25,664.8"
2007-07-18 05:00:00+07:00,"664.85,674.15,664.7,673.2"
2007-07-19 05:00:00+07:00,"673.1,677.6,671.25,676.55"
2007-07-20 05:00:00+07:00,"676.65,686.75,675.1,683.1"
2007-07-23 05:00:00+07:00,"682.8,684.95,680.2,682.1"
2007-07-24 05:00:00+07:00,"682,687.75,680.6,681.25"
2007-07-25 05:00:00+07:00,"681.2,681.75,670.5,675.65"
2007-07-26 05:00:00+07:00,"675.6,676.85,654.5,662.65"
2007-07-27 05:00:00+07:00,"662.6,666.8,656.8,660.9"
2007-07-30 05:00:00+07:00,"661.2,665.7,659.8,665.15"
2007-07-31 05:00:00+07:00,"665.2,668.7,662.95,663.75"
2007-08-01 05:00:00+07:00,"663.8,667.5,659.1,665.35"
2007-08-02 05:00:00+07:00,"665.3,666.9,662.6,665.35"
2007-08-03 05:00:00+07:00,"665.3,675.35,664.95,673.45"
2007-08-06 05:00:00+07:00,"672.7,674.8,669,671.55"
2007-08-07 05:00:00+07:00,"671.5,672.5,665.95,671.35"
2007-08-08 05:00:00+07:00,"671.4,676.7,669.65,673.55"
2007-08-09 05:00:00+07:00,"673.5,674.4,659.2,661.8"
2007-08-10 05:00:00+07:00,"661.85,676.15,658,672.6"
