Date,Message
2024-12-12 08:00:00+07:00,"2710.67,2711.64,2708.31,2711.29"
2024-12-12 09:00:00+07:00,"2711.25,2711.44,2703.84,2706.14"
2024-12-12 10:00:00+07:00,"2706.15,2711.29,2705.03,2710.3"
2024-12-12 11:00:00+07:00,"2710.27,2715.8,2709.69,2712.44"
2024-12-12 12:00:00+07:00,"2712.41,2716.31,2711.36,2713.68"
2024-12-12 13:00:00+07:00,"2713.69,2718.67,2709.77,2718.66"
2024-12-12 14:00:00+07:00,"2718.57,2720.39,2715.42,2715.97"
2024-12-12 15:00:00+07:00,"2716.04,2719.62,2714.86,2718.02"
2024-12-12 16:00:00+07:00,"2717.99,2718.82,2713.96,2714.88"
2024-12-12 17:00:00+07:00,"2715.03,2715.91,2709.85,2711.78"
2024-12-12 18:00:00+07:00,"2711.72,2713.29,2707.13,2710.87"
2024-12-12 19:00:00+07:00,"2710.89,2712.55,2706.02,2706.77"
2024-12-12 20:00:00+07:00,"2707.01,2711.54,2697.31,2697.48"
2024-12-12 21:00:00+07:00,"2697.72,2699.8,2680.74,2686.4"
2024-12-12 22:00:00+07:00,"2686.34,2688.4,2674.96,2679.75"
2024-12-12 23:00:00+07:00,"2679.72,2684.03,2677.19,2683.71"
2024-12-13 00:00:00+07:00,"2683.76,2686.9,2681.39,2686.16"
2024-12-13 01:00:00+07:00,"2686.31,2687.05,2682.81,2684.23"
2024-12-13 02:00:00+07:00,"2684.28,2686.72,2682.57,2683.25"
2024-12-13 03:00:00+07:00,"2683.24,2683.56,2679.44,2679.95"
2024-12-13 04:00:00+07:00,"2679.95,2682.96,2679.47,2680.69"
2024-12-13 06:00:00+07:00,"2680.85,2681.8,2679.87,2680.44"
2024-12-13 07:00:00+07:00,"2680.45,2685.45,2678.73,2685.39"
2024-12-13 08:00:00+07:00,"2685.38,2692.81,2685.14,2689.89"
2024-12-13 09:00:00+07:00,"2689.92,2690.96,2684.25,2686.66"
2024-12-13 10:00:00+07:00,"2686.61,2691.27,2685.95,2688.32"
2024-12-13 11:00:00+07:00,"2688.19,2688.82,2685.33,2687.31"
