Date,Message
2007-02-19 06:00:00+07:00,"668.2,688.2,655.7,682.2"
2007-02-26 06:00:00+07:00,"683.25,688.95,639.55,642.15"
2007-03-05 06:00:00+07:00,"642.75,657.9,632.35,649.15"
2007-03-12 05:00:00+07:00,"649.3,655.35,636.8,653.1"
2007-03-19 05:00:00+07:00,"654.1,666.55,651.95,657.15"
2007-03-26 05:00:00+07:00,"658.1,669.2,655.3,663.45"
2007-04-02 05:00:00+07:00,"665.7,675.65,656.25,673.35"
2007-04-09 05:00:00+07:00,"672.55,685.55,670.55,684.85"
2007-04-16 05:00:00+07:00,"685.25,693.5,679,691.65"
2007-04-23 05:00:00+07:00,"692.6,693.55,670.65,681.2"
2007-04-30 05:00:00+07:00,"679.95,690.5,667.45,688.55"
2007-05-07 05:00:00+07:00,"688.05,690.7,664.25,670.8"
2007-05-14 05:00:00+07:00,"671.8,674.95,653.6,661.45"
2007-05-21 05:00:00+07:00,"661.75,665.3,651.95,655.75"
2007-05-28 05:00:00+07:00,"655.8,671.6,651.95,671.4"
2007-06-04 05:00:00+07:00,"671.1,673.85,644,648.45"
2007-06-11 05:00:00+07:00,"649.95,655.7,643,655.05"
2007-06-18 05:00:00+07:00,"656.2,662.05,647.8,653.9"
2007-06-25 05:00:00+07:00,"652.15,654.05,638.85,649.35"
2007-07-02 05:00:00+07:00,"650.3,658.6,645,655.65"
2007-07-09 05:00:00+07:00,"654.95,669.3,653.5,666.6"
2007-07-16 05:00:00+07:00,"666.85,686.75,662.25,683.1"
2007-07-23 05:00:00+07:00,"682.8,687.75,654.5,660.9"
2007-07-30 05:00:00+07:00,"661.2,675.35,659.1,673.45"
2007-08-06 05:00:00+07:00,"672.7,676.7,658,672.6"
2007-08-13 05:00:00+07:00,"670.45,672,641.85,657.5"
2007-08-20 05:00:00+07:00,"653.9,668.75,653.1,667.95"
2007-08-27 05:00:00+07:00,"667.4,674.5,661.1,672.3"
2007-09-03 05:00:00+07:00,"672.5,706.5,671.1,699.9"
2007-09-10 05:00:00+07:00,"699,717,698.8,707.2"
2007-09-17 05:00:00+07:00,"707.3,739.1,705.9,730.4"
2007-09-24 05:00:00+07:00,"731,745.5,721.7,742.6"
2007-10-01 05:00:00+07:00,"743.7,747.5,720.3,741.6"
2007-10-08 05:00:00+07:00,"740.9,753.4,726.2,749.2"
2007-10-15 05:00:00+07:00,"749,770.8,747.2,765.7"
2007-10-22 05:00:00+07:00,"766.2,785.6,745,784.7"
2007-10-29 05:00:00+07:00,"784.2,807.8,776.5,807.1"
2007-11-05 06:00:00+07:00,"806.9,845.4,800.5,830.7"
2007-11-12 06:00:00+07:00,"829.9,832.2,782.2,785.9"
2007-11-19 06:00:00+07:00,"786,825.4,772.4,823"
2007-11-26 06:00:00+07:00,"823.6,836.5,778.7,781.8"
2007-12-03 06:00:00+07:00,"782.9,806.5,776.6,795.6"
2007-12-10 06:00:00+07:00,"795.7,816.8,787.4,794.1"
2007-12-17 06:00:00+07:00,"793.7,812.1,784.9,809.6"
2007-12-24 06:00:00+07:00,"810.6,839.7,807.8,838.9"
2007-12-31 06:00:00+07:00,"841,868.9,829.2,860.6"
2008-01-07 06:00:00+07:00,"860.4,898,854.9,895.7"
2008-01-14 06:00:00+07:00,"895,914.1,870,884.35"
2008-01-21 06:00:00+07:00,"882.4,923.45,849.2,913.3"
2008-01-28 06:00:00+07:00,"911.3,936.75,903.6,903.95"
2008-02-04 06:00:00+07:00,"905.4,920.55,884,920.2"
2008-02-11 06:00:00+07:00,"921.75,927.1,896.05,902.05"
2008-02-18 06:00:00+07:00,"902.45,953.85,900.05,945.15"
2008-02-25 06:00:00+07:00,"945.45,975.95,926,973.05"
2008-03-03 06:00:00+07:00,"973.1,992.9,956.35,972.65"
2008-03-10 05:00:00+07:00,"972.9,1007.05,960.9,999.3"
2008-03-17 05:00:00+07:00,"1001.8,1032.35,904.33,910.75"
2008-03-24 05:00:00+07:00,"914.85,954.65,906.1,930.1"
2008-03-31 05:00:00+07:00,"930.8,940.65,872.2,913.35"
2008-04-07 05:00:00+07:00,"912.3,939.6,902.9,924.95"
2008-04-14 05:00:00+07:00,"918.9,952.6,904.55,917.9"
2008-04-21 05:00:00+07:00,"916.85,928.55,877.6,884.15"
2008-04-28 05:00:00+07:00,"888.95,895.7,844.95,856.75"
2008-05-05 05:00:00+07:00,"858.25,889.5,858.15,885.25"
2008-05-12 05:00:00+07:00,"883.3,904.9,859.8,902.9"
2008-05-19 05:00:00+07:00,"903.5,935.15,900.55,924.75"
2008-05-26 05:00:00+07:00,"926.55,930.65,869.85,886.55"
2008-06-02 05:00:00+07:00,"887.6,901.45,864.65,901.05"
2008-06-09 05:00:00+07:00,"902.55,909.1,857.05,869.15"
2008-06-16 05:00:00+07:00,"869.1,908.35,866.35,901.35"
2008-06-23 05:00:00+07:00,"901.55,930.6,873.3,926.7"
2008-06-30 05:00:00+07:00,"928.95,946.4,918.35,932.9"
2008-07-07 05:00:00+07:00,"931.95,967.35,912.25,963.95"
2008-07-14 05:00:00+07:00,"965.4,988.15,949.55,954.65"
2008-07-21 05:00:00+07:00,"956.6,975.95,915.9,929.6"
2008-07-28 05:00:00+07:00,"928.5,933.05,893.5,908.7"
2008-08-04 05:00:00+07:00,"909.8,915.35,850.5,857.05"
2008-08-11 05:00:00+07:00,"855.5,865.75,772.6,786.95"
2008-08-18 05:00:00+07:00,"790.8,839.05,782.1,822.35"
2008-08-25 05:00:00+07:00,"822.85,843.85,806.7,830.05"
2008-09-01 05:00:00+07:00,"833.55,836.1,788.95,801.4"
2008-09-08 05:00:00+07:00,"808.15,817.9,735.95,766.25"
2008-09-15 05:00:00+07:00,"749.85,919.4,749.85,872.2"
2008-09-22 05:00:00+07:00,"867.4,911.7,862.88,878.8"
2008-09-29 05:00:00+07:00,"875.25,925.1,817.95,836.9"
2008-10-06 05:00:00+07:00,"831.95,930.95,824.3,841.85"
2008-10-13 05:00:00+07:00,"765.25,871.55,765.25,783.95"
2008-10-20 05:00:00+07:00,"759.7,809.8,681.05,732.85"
2008-10-27 05:00:00+07:00,"679.55,777.1,679.55,723.85"
2008-11-03 06:00:00+07:00,"724.2,769,721.7,736.35"
2008-11-10 06:00:00+07:00,"736.5,768.1,699,744.75"
2008-11-17 06:00:00+07:00,"738.65,802.15,730.6,800.2"
2008-11-24 06:00:00+07:00,"801.7,830.7,786.2,817.25"
2008-12-01 06:00:00+07:00,"818.25,818.65,741,757.15"
2008-12-08 06:00:00+07:00,"755.1,834.45,755.1,820.45"
2008-12-15 06:00:00+07:00,"823.7,881.65,820.9,838.45"
2008-12-22 06:00:00+07:00,"836.55,872.55,829.15,869.05"
2008-12-29 06:00:00+07:00,"879.2,890.05,856.1,875.9"
2009-01-05 06:00:00+07:00,"883.2,884.2,835.3,852.15"
2009-01-12 06:00:00+07:00,"855.85,856.4,801.3,840.35"
2009-01-19 06:00:00+07:00,"842.4,902.9,823.3,899.15"
2009-01-26 06:00:00+07:00,"897.15,929.2,873.95,927.4"
2009-02-02 06:00:00+07:00,"922.8,925.45,888.8,910.4"
2009-02-09 06:00:00+07:00,"910.15,952.1,889.1,941.3"
2009-02-16 06:00:00+07:00,"940.95,1006,935.75,993.5"
2009-02-23 06:00:00+07:00,"991.9,998,926.5,940.9"
2009-03-02 06:00:00+07:00,"948.05,958.15,899.85,938.6"
2009-03-09 05:00:00+07:00,"939.95,941.79,890.7,927.7"
2009-03-16 05:00:00+07:00,"925.15,966.8,883.45,952.1"
2009-03-23 05:00:00+07:00,"950.15,956.85,915.95,923.25"
2009-03-30 05:00:00+07:00,"922.45,933.15,890.45,892.3"
2009-04-06 05:00:00+07:00,"893.3,893.6,864.9,880.8"
2009-04-13 05:00:00+07:00,"882.6,899.5,864.7,866.7"
2009-04-20 05:00:00+07:00,"868.75,913.65,864.5,912.05"
2009-04-27 05:00:00+07:00,"912.2,918.2,880.1,885.05"
2009-05-04 05:00:00+07:00,"885.65,925.3,878.85,915.1"
2009-05-11 05:00:00+07:00,"916.15,933.8,908.3,931.05"
2009-05-18 05:00:00+07:00,"930.75,961.25,914.95,957.4"
2009-05-25 05:00:00+07:00,"953.85,980.05,939.8,978.6"
2009-06-01 05:00:00+07:00,"977.95,990.05,952.55,953.8"
2009-06-08 05:00:00+07:00,"955.4,965.3,935.75,938.75"
2009-06-15 05:00:00+07:00,"938.45,941.55,925.88,935.5"
2009-06-22 05:00:00+07:00,"933.6,948.3,912.8,939.85"
2009-06-29 05:00:00+07:00,"937.3,946.3,917.45,932.15"
2009-07-06 05:00:00+07:00,"932.1,932.1,904.9,912.45"
2009-07-13 05:00:00+07:00,"912.35,942,907.7,935.7"
2009-07-20 05:00:00+07:00,"934.35,957.2,934.35,951.45"
2009-07-27 05:00:00+07:00,"950.6,958.7,925.45,951"
2009-08-03 05:00:00+07:00,"953.75,971.55,950.78,954.95"
2009-08-10 05:00:00+07:00,"954.25,960.6,939.85,947.5"
2009-08-17 05:00:00+07:00,"946.6,957.85,930.15,953.47"
2009-08-24 05:00:00+07:00,"952.45,961.7,934.45,955.8"
2009-08-31 05:00:00+07:00,"955.6,997.29,944,993.65"
2009-09-07 05:00:00+07:00,"992.45,1011.6,982.7,1006"
2009-09-14 05:00:00+07:00,"1005,1023.9,992.05,1006.15"
2009-09-21 05:00:00+07:00,"1006.75,1019.55,985.05,988.95"
2009-09-28 05:00:00+07:00,"990.85,1009.55,984.9,1001.6"
2009-10-05 05:00:00+07:00,"1001.6,1061.28,999.8,1047.65"
2009-10-12 05:00:00+07:00,"1048.4,1070.45,1042.8,1052.15"
2009-10-19 05:00:00+07:00,"1052.05,1067.9,1047.55,1054.9"
2009-10-26 05:00:00+07:00,"1054.4,1059.7,1026.37,1045.2"
2009-11-02 06:00:00+07:00,"1041.8,1100.9,1040.75,1095.2"
2009-11-09 06:00:00+07:00,"1098.25,1122.9,1095.35,1118.7"
2009-11-16 06:00:00+07:00,"1118,1152.85,1118,1150.65"
2009-11-23 06:00:00+07:00,"1150.4,1194.95,1137.15,1176.35"
2009-11-30 06:00:00+07:00,"1176.7,1226.15,1147.25,1160.15"
2009-12-07 06:00:00+07:00,"1160.85,1168.7,1109.25,1115.1"
2009-12-14 06:00:00+07:00,"1114.55,1141.55,1094.65,1111.5"
2009-12-21 06:00:00+07:00,"1111.15,1119.1,1074.4,1104.5"
2009-12-28 06:00:00+07:00,"1104.9,1113.65,1085.59,1096.55"
2010-01-04 06:00:00+07:00,"1096.7,1140.3,1093.05,1136"
2010-01-11 06:00:00+07:00,"1137.45,1161.85,1118.2,1131.15"
2010-01-18 06:00:00+07:00,"1127.15,1141.35,1082,1093.3"
2010-01-25 06:00:00+07:00,"1092.15,1103.95,1073.8,1081.3"
2010-02-01 06:00:00+07:00,"1082.4,1124.9,1044.05,1067.05"
2010-02-08 06:00:00+07:00,"1065.8,1097.8,1061.45,1092.05"
2010-02-15 06:00:00+07:00,"1092.75,1127.3,1091.5,1117.6"
2010-02-22 06:00:00+07:00,"1125.1,1130.85,1088.1,1116.6"
2010-03-01 06:00:00+07:00,"1117.25,1144.85,1111.75,1131.45"
2010-03-08 06:00:00+07:00,"1136.4,1137.5,1098.2,1102.25"
2010-03-15 05:00:00+07:00,"1100.6,1133.2,1100.6,1105.65"
2010-03-22 05:00:00+07:00,"1106.75,1109.55,1084.95,1108.6"
2010-03-29 05:00:00+07:00,"1110.1,1127.9,1101.45,1125"
2010-04-05 05:00:00+07:00,"1119.85,1164.65,1119.85,1160.35"
2010-04-12 05:00:00+07:00,"1160.15,1169.4,1129.85,1136.25"
2010-04-19 05:00:00+07:00,"1135.4,1156.98,1123.75,1155.9"
2010-04-26 05:00:00+07:00,"1157.8,1181.63,1145.98,1178.25"
2010-05-03 05:00:00+07:00,"1176.85,1213.77,1156.35,1207.78"
2010-05-10 05:00:00+07:00,"1195.85,1249.28,1183.88,1230.03"
2010-05-17 05:00:00+07:00,"1230.65,1242.28,1166.05,1177.06"
2010-05-24 05:00:00+07:00,"1181.5,1218.28,1179.3,1214.45"
2010-05-31 05:00:00+07:00,"1213.95,1228.75,1196.75,1217.45"
2010-06-07 05:00:00+07:00,"1218.65,1251.84,1210.45,1226.6"
2010-06-14 05:00:00+07:00,"1230.4,1262.18,1216.2,1255.63"
2010-06-21 05:00:00+07:00,"1259.05,1265.05,1224.6,1254.48"
2010-06-28 05:00:00+07:00,"1253.95,1262.54,1196.38,1211.15"
2010-07-05 05:00:00+07:00,"1211.6,1214.35,1184.79,1209.6"
2010-07-12 05:00:00+07:00,"1211.45,1217.88,1185.98,1192.65"
2010-07-19 05:00:00+07:00,"1193.6,1203.85,1175.55,1187.18"
2010-07-26 05:00:00+07:00,"1187.6,1194.53,1156.85,1180.7"
2010-08-02 05:00:00+07:00,"1180.25,1210.82,1174.38,1205.16"
2010-08-09 05:00:00+07:00,"1204.1,1217.45,1190.57,1214.72"
2010-08-16 05:00:00+07:00,"1214.7,1237.3,1213.85,1227.3"
2010-08-23 05:00:00+07:00,"1226.7,1244.05,1210.12,1237.92"
2010-08-30 05:00:00+07:00,"1236.7,1254.58,1231.7,1246.5"
